company,Date,text
TWTR,2017-10-07,"#NotGoingTo
RedoTwt
https://twitter.com/SRAntiFascism/status/913875997090447360 …
#WhatWouldBeThePoint
#Twtr #TempsRéel #Censeurs
#Censurer #EverythingITweet Abt
#NeoNazis Anyhow"
TWTR,2017-10-08,"ThisTweetThatGotMe
ThrownIn #TwitterJail #ThisTime
4Trying2Help
#AfghanRefugees SameAsB4
#BloodyHorrible That #JackDorsey
#TotalJerks@ #Twtr pic.twitter.com/uHMiQVk433"
TWTR,2017-10-08,"Twitter's sell rating reiterated at Royal Bank Of Canada. $14.00 PT. http://ift.tt/2y2qZl1  $TWTR #TWTR"
TWTR,2017-10-08,"Twitter's sell rating reiterated at Royal Bank Of Canada. $14.00 PT. http://ift.tt/2y2qZl1  $TWTR #TWTR"
TWTR,2017-10-08,"Twitter's sell rating reiterated at Royal Bank Of Canada. $14.00 PT. http://ift.tt/2y2qZl1  $TWTR #TWTR"
TWTR,2017-10-08,"Being A Roller Coaster Trader & What It Entails | #RollerCoaster #StockTrader #Emotions #Ride #FB #TWTR #SNAP #LNKD |http://bit.ly/2uy8kfb pic.twitter.com/awU75a6r2W"
TWTR,2017-10-08,"I can't leave twitter. I own #TWTR :( https://twitter.com/kyletblaine/status/917108870753017857 …"
TWTR,2017-10-08,"Tesla pushes back Semi unveiling amid Model 3 issues, Puerto Rico work
http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/WETFmq7rvQ4/story.aspx …
$SPX #SPX $TWTR #TWTR $TSLA #TSLA"
TWTR,2017-10-08,"Comedian Ralphie May dies at 45
http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/qHZf9KawCkg/story.aspx …
$TWTR #TWTR"
TWTR,2017-10-09,"$TWTR - Twitter, Inc. #TWTR Stock Rating Reaffirmed by KeyCorp https://goo.gl/fb/NMjAAb "
TWTR,2017-10-09,"#Deux #ShadowBans
Present
1On #JackDorsey's #WhitePrivilege
OthrOn #LoneWolf
WhatThatSaysAbt #Twtr
,#JackDorsey?
#WouldSay #JudgeForYourSelfpic.twitter.com/vTGwOmMiYl"
TWTR,2017-10-09,"BLOCK TRADE detected in #TWTR"
TWTR,2017-10-09,"Being A Roller Coaster Trader & What It Entails | #RollerCoaster #StockTrader #Emotions #Ride #FB #TWTR #SNAP #LNKD |http://bit.ly/2xVEyES pic.twitter.com/1XlSMHiz6F"
TWTR,2017-10-09,"#WillCheckLater
CIf #ShadowBanned
In #NeoNazis Htag
By #JackDorsey:#Twtr&
#ChangeTweet #IfitIs
https://twitter.com/SRAntiFascism/status/917436529542176768 …
#NeoNazis IsRightHtag"
TWTR,2017-10-09,"#Trois #ShadowBans
By #Twtr:#JackDorsey On
#BreitBartNews
#NeoNazis
#MiloYiannopoulos
ThatMeans
ApartFrom #Jack
#Commercializing #AltRight,pic.twitter.com/13118ry77f"
TWTR,2017-10-09,"do #twtr have something to restrict posts that are #duplicatePosts...Every #duplictaePosts are showing when i have a #limitedFollowers"
TWTR,2017-10-09,"It’s a #MikeyMonday ! s/o to #ECWOriginal @ecw_whipper ... Give #TheUnholyFather a follow on #twtr why don’t cha? #NYWC #October #wearablespic.twitter.com/WccsXodEVN"
TWTR,2017-10-09,"Twitter, Inc. (TWTR) price at close, October 09, 2017, is 17.66 USD. #Stocks #Twitter #TWTR"
TWTR,2017-10-09,"Cause #HomoPhobicCrap
ByLikes #Twtr:#JackDorsey
#WhyIDont #MarkTweets Twts
With #GayRefugee's
Cause #FearFor Their
#WellBeing& #TheirSafety.pic.twitter.com/cipv1Vdhym"
TWTR,2017-10-09,"LikeThis
#RecentExample
#Twtr:#JackDorsey
#ShadowBanned:#UrlBan
#SimilarArticle's4 
#KingdomOfSaudiArabia
#AllOfThemhttps://twitter.com/SRAntiFascism/status/916497969800548352 …"
TWTR,2017-10-09,"McDonald’s faces backlash over Szechuan sauce shortage
http://nypost.com/2017/10/09/mcdonalds-faces-backlash-over-szechuan-sauce-shortage/ …
$TWTR #TWTR"
TWTR,2017-10-09,"#predictours @pointtalkers @bustarealm @highcooing @waypasasking @headlinenoose no fuckin' results @twitter #twtr twitter sucks https://twitter.com/nonsensehiding/status/917486260138266628 …"
TWTR,2017-10-10,"Loving @AC360 ""when #Trump tweets"" #kellyanneconway believes it's a good thing but when @SenBobCorker tweets ""it's irresponsible"". How long will it take for all Americans to feel the manipulative blanket #POTUS is wrapping them in via #TWTR."
TWTR,2017-10-10,"So glad disney didnt buy twitter, after looking at what they have done to #ESPN #twtr #dis"
